"","states","frequency","region"
"1","Alabama",6,"alabama"
"2","Arizona",5,"arizona"
"3","Arkansas",4,"arkansas"
"4","California",27,"california"
"5","Colorado",12,"colorado"
"6","Connecticut",4,"connecticut"
"7","Delaware",2,"delaware"
"8","Florida",15,"florida"
"9","Georgia",28,"georgia"
"10","Idaho",1,"idaho"
"11","Illinois",18,"illinois"
"12","Indiana",7,"indiana"
"13","Iowa",4,"iowa"
"14","Kansas",11,"kansas"
"15","Kentucky",6,"kentucky"
"16","Louisiana",1,"louisiana"
"17","Maine",1,"maine"
"18","Maryland",15,"maryland"
"19","Massachusetts",20,"massachusetts"
"20","Michigan",7,"michigan"
"21","Minnesota",8,"minnesota"
"22","Mississippi",1,"mississippi"
"23","Missouri",14,"missouri"
"24","Nebraska",2,"nebraska"
"25","Nevada",3,"nevada"
"26","New Jersey",14,"new jersey"
"27","New York",25,"new york"
"28","North Carolina",18,"north carolina"
"29","North Dakota",1,"north dakota"
"30","Ohio",24,"ohio"
"31","Oklahoma",2,"oklahoma"
"32","Oregon",5,"oregon"
"33","Pennsylvania",29,"pennsylvania"
"34","Puerto Rico",2,"puerto rico"
"35","Rhode Island",1,"rhode island"
"36","South Carolina",2,"south carolina"
"37","Tennessee",13,"tennessee"
"38","Texas",23,"texas"
"39","Utah",1,"utah"
"40","Virginia",18,"virginia"
"41","Washington",1,"washington"
"42","West Virginia",1,"west virginia"
"43","Wisconsin",9,"wisconsin"
